Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1236,759,1942,1091,1132,216,55
1293,1060,1870,1226,1202,244,54
1279,792,1834,1141,1069,136,53
1221,810,1789,1098,1136,202,56
1284,883,1864,1144,1189,248,49
1266,966,1837,1220,1096,199,60
1246,724,1928,1235,1092,222,60
1289,758,2034,1251,1169,204,55
1296,998,1675,1083,1248,111,59
1356,778,1664,1277,1169,214,60
1263,856,2067,1111,1132,178,54
1303,708,1554,1170,1174,180,52
1285,951,1755,1070,1160,170,57
1334,723,1859,1214,1222,143,52
1361,928,1530,1143,1171,178,55
1295,760,2171,1176,1118,120,50
1297,631,1888,1147,1087,185,56
1336,474,1714,1058,1032,138,53
1228,835,1958,1212,1052,149,53
1221,675,1872,1221,1182,170,58
1301,604,1972,1328,1059,322,54
1268,540,1725,1085,1219,145,53
1263,612,1851,1148,1134,127,50
1312,758,1791,1134,1076,112,57
1263,844,1683,926,1114,154,52
1202,885,1683,1258,1093,106,57
1338,642,1763,1163,1124,209,57
1269,668,1703,1119,1122,168,58
1315,698,1723,1178,1071,102,55
1216,632,1572,1171,1137,116,57
1182,595,1901,1080,1198,196,55
1360,770,1659,1174,1188,208,56
1311,606,1867,1090,1080,281,52
1260,750,1956,1087,1074,224,53
1300,697,2005,1021,1036,121,59
1309,830,1895,1157,1125,133,58
1281,575,1690,1078,1104,195,60
1266,711,2035,1141,1191,171,54
1274,755,1986,1132,1226,91,54
1238,644,1889,1216,1207,107,53
1227,719,1738,1187,1079,128,58
1224,679,1715,1143,1118,142,57
1314,720,1770,1108,1090,130,56
1321,811,1709,1188,1067,131,57
1305,666,1705,1182,1153,216,56
1335,931,1800,1140,1188,232,51
1290,866,1773,1128,1227,135,57
1333,757,2197,1136,1284,131,51
1298,844,1895,1289,1084,264,55
1292,540,1652,1161,1140,156,54
1255,896,1619,1173,1131,226,49
1310,698,1971,1262,1209,179,52
1236,855,1841,1153,1132,165,60
1280,786,1744,1286,1137,282,57
1342,652,1834,1130,1158,226,57
1281,1064,1763,1145,1161,247,56
1328,640,1612,1160,1181,204,53
1269,737,2005,1106,1164,170,57
1318,810,1895,1101,1209,85,52
1163,620,1822,1025,1082,256,54
1272,535,1817,1170,1031,235,56
1286,840,1750,1305,1144,112,53
1350,689,1889,1248,1150,170,53
1242,913,1726,1200,1176,198,57
1287,742,1641,957,1155,137,49
1255,619,2001,1213,1144,176,50
1346,866,2103,1130,1251,108,57
1196,856,1846,1275,1067,123,53
1322,672,1861,1008,1141,95,56
1286,1040,1826,1199,1136,109,55
1215,833,1932,1006,1113,261,53
1336,727,1611,1187,1125,102,59
1207,909,1905,1152,1200,131,55
1285,786,1839,1131,1086,219,58
1309,764,1553,1108,1138,248,55
1255,700,1850,1126,1129,183,56
1342,1026,1782,1051,1084,94,62
1236,634,1699,1110,1159,186,58
1223,705,1681,1168,1173,214,57
1243,747,1725,1215,1126,223,53
1200,793,1796,1148,1124,160,58
1309,1065,1813,1231,1087,191,51
1313,720,1906,1218,1039,120,53
1277,877,1737,1225,1141,98,59
1239,746,1739,1122,1142,146,54
1217,851,1723,1154,1065,225,54
1211,846,1643,1208,1026,124,58
1193,668,2152,1150,1156,171,56
1297,559,1970,1142,1184,130,52
1287,695,1714,943,1139,224,55
1252,894,1752,1082,1083,144,50
1340,834,1616,1136,1135,180,54
1273,843,1787,1157,1130,154,54
1112,702,2013,1156,1152,129,48
1240,793,1890,1151,1118,153,53
1235,710,1912,1140,1131,244,55
1285,874,1773,1192,1046,217,49
1329,557,1985,1107,1218,250,55
1318,671,1720,1123,1094,161,57
1311,797,1838,1246,1144,138,58
1312,584,1786,1201,1270,99,55
1331,983,1822,1048,1241,148,53
1315,888,1921,1178,1230,131,57
1306,814,1585,1330,1246,193,56
1357,845,1779,1163,1239,204,54
1330,971,1760,1113,1167,116,51
