Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1323,1015,1907,1196,1180,176,56
1262,763,1656,1189,1082,190,50
1356,633,1920,1063,1190,70,58
1242,611,1904,1094,1073,174,54
1248,913,1730,1170,1008,122,55
1295,908,1954,1086,1150,173,54
1262,682,1839,1155,1240,252,54
1224,961,1652,1082,1090,218,56
1241,796,2004,1152,1179,202,49
1313,630,1823,1228,1128,197,57
1240,936,1911,1335,1095,120,53
1264,692,1605,1058,1211,208,52
1306,735,1599,1092,1154,152,55
1175,769,1902,1182,1241,201,60
1288,632,1864,1198,1208,188,53
1177,926,1732,1275,1213,175,53
1312,879,1763,1125,1284,126,56
1268,753,1678,1094,1192,207,55
1287,711,1705,1112,1077,107,56
1269,739,1850,1222,1150,222,50
1280,544,1683,1168,1105,119,55
1292,690,1867,1108,1178,102,53
1291,803,1863,1127,1085,265,53
1228,848,1665,1108,1049,137,55
1296,965,1796,1074,1120,138,56
1287,738,1950,1179,1175,226,57
1269,689,1772,1186,1160,156,53
1278,655,1859,1098,1061,175,57
1251,691,1687,1203,1169,110,54
1243,813,1703,995,1180,186,56
1210,532,1795,1112,1247,151,58
1283,1160,1683,1144,1104,141,57
1313,608,2143,1267,1176,102,52
1308,801,1649,1247,1046,245,54
1205,715,1511,1099,1257,166,51
1240,537,1642,1279,1116,65,53
1331,686,1724,1134,1272,121,58
1285,771,1935,1200,1166,254,58
1333,912,1937,1216,1131,293,53
1266,1149,1951,1144,1297,231,60
1359,489,2101,1224,1169,138,53
1266,714,1959,1341,1101,141,53
1334,987,1718,1154,1077,96,56
1295,757,1534,1084,1139,77,54
1324,813,1592,1215,1099,191,56
1287,1156,1880,1208,1132,109,54
1279,919,1903,1037,1168,208,53
1282,768,1861,1105,1208,116,56
1335,962,1757,1066,1157,126,57
1312,888,1579,1178,1246,218,54
1288,748,1765,1187,1218,232,58
1268,633,1924,1171,1101,194,55
1339,741,2178,1131,1136,106,56
1334,683,1916,1141,1061,179,50
1281,686,1768,1217,1156,130,50
1300,909,1734,1119,1166,136,59
1255,797,2079,1111,1149,212,56
1310,804,1811,1093,1234,257,53
1289,672,1756,1082,1114,108,55
1239,811,1781,1085,1204,162,54
1373,795,1744,1155,1192,232,56
1253,750,1717,1213,1259,231,55
1249,734,1796,1180,1034,135,55
1167,663,2004,1096,1090,114,53
1270,794,1858,1257,1144,108,61
1307,745,1969,1196,1086,156,55
1293,1005,1773,1133,1130,148,49
1253,747,2203,1205,1160,211,50
1267,766,1885,1203,1130,132,52
1331,654,1788,1254,1007,211,56
1252,600,1947,1168,1046,220,52
1249,851,1752,1296,1117,151,59
1258,729,1648,1162,1285,160,58
1348,896,1702,1048,1192,85,55
1318,711,1824,1256,1149,159,58
1273,470,1730,1059,1098,140,52
1295,1047,1889,957,1216,131,55
1285,488,1794,1122,1169,177,54
1267,758,1756,1327,1105,88,57
1345,911,1609,1208,1086,149,54
1262,830,1768,1256,1170,183,54
1332,784,1789,1060,1171,159,54
1273,747,1817,1117,1196,170,57
1172,588,1896,1117,1169,163,56
1226,874,1898,1192,1074,143,55
1264,706,1760,1204,1172,212,55
1285,803,1823,1073,1095,152,54
1327,600,1860,1189,1120,210,53
1303,1027,1700,1181,1095,141,55
1202,859,1713,1024,1148,87,55
1193,706,1770,1073,1254,125,53
1196,793,1809,1124,1182,124,52
1333,734,1806,1227,1099,173,51
1253,887,1920,1119,1117,152,58
1247,656,1682,1234,1128,118,54
1285,712,1863,1064,1134,152,58
1285,699,1729,1268,1282,258,55
1305,738,1808,1023,1196,102,53
1270,850,1920,1212,1112,192,52
1263,1013,1782,1149,1178,184,56
1177,826,1622,1236,1160,113,51
1221,890,1774,1316,1087,101,57
1292,701,1656,1280,1108,221,58
1254,454,1668,1125,1064,113,52
1318,626,1619,1156,1147,220,55
1360,820,1754,1221,1110,179,59
1288,716,1798,1186,1095,213,56
1208,813,1856,1193,1096,134,53
1289,745,1715,1095,1135,192,58
1280,769,1653,1151,1086,152,52
1291,851,1661,1069,1054,87,58
1317,809,1750,1114,1170,174,53
1311,980,1917,1211,1165,190,53
1276,994,1892,1222,1274,189,53
1314,633,1789,1107,1080,169,54
1286,722,1783,1264,1133,144,56
1315,794,1977,1236,1171,135,56
1312,567,1833,1145,1184,125,54
1291,637,1834,1264,1063,91,51
1355,825,1755,1217,1175,187,58
1262,805,1793,1070,1212,206,54
1217,697,1625,1077,1263,87,56
1324,779,1777,1089,1134,135,57
1331,895,1740,1202,1088,221,58
1244,767,1999,1026,1114,184,53
1241,724,1833,1162,1135,224,53
1334,837,1870,1008,1212,131,57
1189,755,1664,1142,1055,143,57
1259,749,2000,1041,1124,205,55
1312,643,1838,1104,1221,190,56
1311,845,1772,1166,1194,205,56
1286,1000,1856,1199,1178,135,54
1336,858,1822,1280,1193,199,56
1287,598,1865,1098,1223,171,58
1319,950,1797,1279,1044,163,51
1292,804,1668,1187,1039,107,52
1173,997,1866,1121,1181,227,56
1173,830,1492,1213,1204,116,49
1293,824,1761,1199,1149,152,55
1352,708,1659,1048,1130,133,56
1334,861,1820,1107,1140,130,51
1245,692,2027,1319,1183,120,53
1311,773,1963,1087,1030,174,51
