Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1247,727,1701,1034,1058,201,56
1253,868,1843,1239,1119,224,55
1287,946,1732,1203,1132,117,57
1279,699,1667,1097,1208,115,59
1278,715,1715,1199,1279,161,57
1307,515,1784,1279,1099,212,50
1287,794,1607,1098,1214,128,54
1308,975,1836,1097,1196,189,57
1303,590,1793,1121,1137,133,54
1237,797,1729,1171,1185,153,52
1313,679,1577,1094,1159,292,60
1291,644,1940,1273,1057,102,55
1229,873,1829,1071,1116,192,56
1206,865,2020,1214,1114,128,51
1333,814,1920,1173,1185,181,50
1339,751,1703,1104,1179,177,52
1255,723,1796,952,1190,105,57
1325,788,1590,1117,1037,189,59
1257,800,2077,1191,1149,190,52
1240,619,1833,1201,1171,165,53
1257,727,1540,1077,1109,129,54
1295,813,1557,1075,1097,110,54
1267,657,1837,1139,1144,208,59
1193,814,1806,1239,1058,171,54
1370,764,1682,968,1079,133,58
1286,826,1500,1192,1215,105,55
1237,782,1965,1294,1136,165,56
1282,836,1908,1191,1241,174,56
1361,864,1831,1090,1119,182,53
1364,846,1880,1173,1039,240,54
1263,701,1826,1146,1103,188,58
1309,806,1836,1220,1170,89,54
1263,640,1828,1138,1108,188,53
1332,741,1676,1225,1214,280,55
1284,698,1787,1292,1130,154,56
1220,642,1949,1213,1041,85,60
1258,621,1748,1079,1153,193,58
1289,788,1936,1078,1178,120,55
1327,741,1635,1081,1181,140,56
1173,547,2021,1107,1136,251,57
1301,604,1704,1060,1089,117,51
1237,784,1804,1142,1099,96,55
1360,815,1602,1219,1087,108,57
1281,574,1929,1284,1134,122,59
1218,756,1856,1065,1118,174,52
1318,615,1735,1020,1108,104,53
1282,842,1851,1139,1121,131,55
1311,747,1701,1132,1185,191,60
1296,848,1718,1047,1153,215,53
1332,819,1899,1236,1105,170,56
1239,848,1927,1239,1044,225,56
1289,842,1755,1187,1159,177,57
1259,857,1919,1117,1134,46,59
1333,717,1624,1078,1175,183,55
1306,770,1754,1153,1220,134,54
1220,839,1836,1223,1147,226,54
1282,889,1644,1104,1035,168,53
1331,654,1695,1220,1141,142,58
1290,862,1661,1264,1074,100,56
1260,872,1756,1186,1212,37,54
1260,547,1651,1245,1114,163,56
1244,717,1957,1262,1170,120,53
1258,781,1927,1273,1330,189,57
1262,878,1793,1294,1134,198,54
1285,816,1797,1154,1156,171,54
1238,755,1691,1210,1189,185,56
1292,856,1911,1067,1145,153,55
1331,729,1716,1192,1088,138,53
1306,790,1660,1117,1201,83,56
1285,656,1783,1170,1094,207,55
1312,914,1617,1210,1238,245,59
1261,797,1822,1148,1170,115,54
1303,647,1934,1357,1184,112,56
1221,650,2009,1074,1120,243,53
1288,839,1715,1208,1041,159,48
1265,638,1780,1245,1155,237,50
1207,623,1695,1262,1085,254,55
1284,610,2003,1052,1146,234,52
1291,865,1878,1266,1175,191,57
1359,662,1744,1061,1038,142,58
1199,842,1800,1163,1148,269,55
1270,752,1713,1171,1162,275,58
1288,677,1832,1147,1127,133,59
1237,618,1866,1056,1143,214,55
1270,795,1713,1115,1084,157,56
1381,830,1854,1194,1195,226,61
1284,806,1622,1131,1160,224,50
1211,633,1891,1070,1044,160,56
1266,836,1761,1160,1146,173,57
1347,619,1784,1283,1065,185,52
1250,988,1737,1244,1095,253,53
1365,941,1809,1178,1077,235,57
1348,941,1876,1073,1046,161,54
1268,1104,1808,1112,1099,218,53
1306,930,1949,1198,1164,198,51
1339,957,1799,1225,1154,219,58
1319,582,1706,1235,1078,144,55
1321,852,1830,1088,1179,114,52
1300,790,1884,1118,1144,130,58
1287,506,1708,1315,1164,113,56
1289,853,1662,1171,1185,169,57
1260,713,1801,1139,1141,162,54
1252,652,1674,1176,1101,149,59
1307,892,1897,1275,1216,116,54
1230,878,1638,1281,1106,194,59
1192,745,1860,1112,1089,186,59
1258,897,1927,1293,1299,163,59
1217,837,1769,1231,1033,114,52
1212,727,1805,1135,1110,167,55
1276,667,1927,1192,1146,88,57
1235,720,1796,1005,1186,133,54
1216,789,2083,1183,1063,129,59
1290,793,1970,960,1158,193,56
1237,924,1845,1190,1046,107,56
1228,829,1847,1206,1172,187,55
1256,695,1935,1224,1140,124,54
1188,805,1777,1048,1163,184,58
1326,842,1835,1255,1174,164,58
1201,895,1958,1186,1078,179,54
1269,750,1874,1047,1111,248,57
1283,683,1934,1259,1117,166,54
1290,768,1852,1216,1210,246,54
1306,557,1936,1268,1084,109,54
1288,823,1721,1239,1114,158,54
1205,731,1747,1300,1198,179,54
1266,797,1656,1156,1150,107,56
1313,742,1756,1204,1105,84,55
1305,648,1939,1285,1184,191,58
1233,794,1963,1172,963,191,56
1247,752,1983,1184,1187,222,52
1221,815,1762,1258,1222,159,57
1306,824,1796,1167,1150,132,56
1284,610,1590,1104,1105,154,57
1306,765,1766,1212,1194,218,55
1313,924,1633,1215,1089,116,56
1282,785,1883,1193,1066,286,56
1299,742,1822,1242,1037,164,55
1322,961,1731,1142,1138,156,54
1331,795,1711,1202,1130,170,50
1279,745,1833,1227,1112,158,55
1359,578,1919,1332,1042,179,56
1261,745,1846,1118,1107,127,56
1240,777,1823,1299,1158,151,50
1296,839,1847,1101,1096,198,59
1252,747,1697,1252,1113,308,56
1339,506,1857,1163,1169,80,56
1265,742,1695,1168,1128,199,54
1302,779,1791,1055,1221,174,55
1249,864,1931,1174,1141,160,53
1252,683,1800,1211,1181,167,49
1214,941,1697,1158,1116,225,55
1264,468,1796,1282,1033,224,55
1216,927,1680,1237,1158,202,60
1284,826,1972,1138,1151,176,55
1301,1012,1820,1060,1103,121,55
1315,660,1802,1120,1129,79,57
1327,666,1802,1239,1186,190,52
1287,800,1736,1216,1088,105,56
1241,843,1917,1159,1128,143,56
1307,890,2093,1323,1223,162,57
1291,854,1853,1068,1142,244,55
1317,628,2212,1114,1216,241,53
1333,861,1773,1119,1225,121,53
1256,599,1908,1184,1213,188,55
1312,791,1864,1045,1096,118,56
1234,702,1920,1266,1144,111,58
1220,594,1791,1105,1194,177,52
1282,868,2047,974,1054,95,59
1313,690,1792,1077,1199,150,51
1248,641,1582,1125,1034,99,55
1389,807,1928,1167,1139,124,53
1310,644,2126,1125,1096,106,53
1356,821,1709,1185,1021,121,56
1343,696,2072,1169,1104,103,56
1291,881,1666,1185,1062,246,62
1235,826,1759,1176,1145,222,56
1218,821,1800,1038,1183,152,52
1316,828,1837,1140,1173,107,53
1290,793,1723,1160,1222,166,55
1262,846,1733,1221,1148,171,56
1261,679,1803,1115,1115,191,49
1244,693,1864,1046,1073,225,54
1314,839,1492,1059,1155,152,56
1282,878,1911,1128,1168,118,53
1278,901,1790,1199,1180,258,52
1342,999,1814,1201,1126,250,55
1333,784,2109,1290,1202,71,51
1283,726,1637,1040,1037,225,54
1282,710,1618,1138,1177,180,56
1344,764,1818,1289,1058,217,50
1260,747,1702,1190,1067,109,55
1256,666,1566,1170,1133,207,55
1246,839,1699,1126,1099,126,53
1344,605,2052,1183,1251,166,55
1282,721,1726,1108,1237,201,54
1277,877,1506,1214,1251,121,50
